sample_id	polygon_id	grts_ranking	x	y	main_type	type	phab	sac	year_planned	description_orig	legacy_site	certain
ZSCPQ245	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ246	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ247	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ248	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ253	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ254	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ256	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ258	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ273	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ274	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ275	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ276	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ277	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ278	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ279	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ281	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ282	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ283	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ284	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ285	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ303	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ306	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ307	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
ZSCPQ314	NA	NA	NA	NA	5	9	100	1	NA	NA	1	1
1023857_1330_hpr	29	1023857	48893.6	206894.1	5	10	30	0	3	70% gh; 30% 1330_hpr	0	1
1027509_1330_hpr	36949	1027509	62237.6	221486.1	5	10	15	1	3	80% gh; 15% 1330_hpr; 5% 1310_pol	0	1
1035701_1330_hpr	36936	1035701	61309.6	220302.1	5	10	30	1	3	70% gh; 30% 1330_hpr	0	1
1045173_1330_hpr	36958	1045173	63357.6	221486.1	5	10	20	1	3	80% gh; 20% 1330_hpr	0	1
1045617_1330_hpr	39205	1045617	53181.6	211118.1	5	10	30	1	3	70% gh; 30% 1330_hpr	0	1
1053365_1330_hpr	36943	1053365	63005.6	220302.1	5	10	30	1	3	70% rbbkam; 30% 1330_hpr	0	1
1076661_1330_hpr	36921	1076661	61789.6	221902.1	5	10	30	1	3	70% gh; 30% 1330_hpr	0	1
1101237_1330_hpr	30210	1101237	61565.6	219630.1	5	10	30	0	3	70% gh; 30% 1330_hpr	0	1
1101245_1330_hpr	33538	1101245	139421.6	220174.1	5	10	100	0	3	100% 1330_hpr	0	1
1117877_1330_hpr	37500	1117877	68669.6	220718.1	5	10	100	1	3	100% 1330_hpr	0	1
1166089_1330_hpr	38487	1166089	107485.6	216526.1	5	10	30	1	3	60% gh; 30% 1330_hpr; 5% 1310_pol; 5% rbbah	0	1
1176689_1330_hpr	39213	1176689	53213.6	210798.1	5	10	30	1	3	70% gh; 30% 1330_hpr	0	1
1184437_1330_hpr	36945	1184437	63037.6	219694.1	5	10	30	1	3	70% gh; 30% 1330_hpr	0	1
1192629_1330_hpr	36948	1192629	63485.6	221742.1	5	10	30	1	3	70% rbbkam; 30% 1330_hpr	0	1
1195701_1330_hpr	317	1195701	69661.6	221422.1	5	10	20	0	3	40% 1310_pol; 20% 1330_hpr; 40% rbbah	0	1
1198857_1330_hpr	405	1198857	106653.6	216142.1	5	10	20	0	4	60% gh; 20% 1330_hpr; 20% rbbzil	0	1
12145_1330_hpr	1423	12145	50461.6	209230.1	5	10	30	0	1	70% gh; 30% 1330_hpr	0	1
1225841_1330_hpr	39204	1225841	54429.6	210830.1	5	10	20	1	3	60% gh; 20% rbbmr; 20% 1330_hpr	0	1
1241781_1330_hpr	36932	1241781	63805.6	221070.1	5	10	30	1	3	70% gh; 30% 1330_hpr	0	1
1242225_1330_hpr	39202	1242225	53725.6	210990.1	5	10	20	1	3	70% gh; 20% 1330_hpr; 10% rbbah	0	1
1249973_1330_hpr	36957	1249973	63805.6	220302.1	5	10	30	1	3	70% gh; 30% 1330_hpr	0	1
1261237_1330_hpr	30911	1261237	69213.6	221070.1	5	10	30	0	4	70% gh; 30% 1330_hpr; 0% gh_ae	0	1
1265333_1330_hpr	4444	1265333	68957.6	222254.1	5	10	30	0	4	40% 1310_pol; 30% 1330_hpr; 30% gh	0	1
1266741_1330_hpr	4789	1266741	72061.6	220622.1	5	10	30	0	4	70% gh; 30% 1330_hpr; 0% gh_ae	0	1
1269937_1330_hpr	45270	1269937	25341.6	196270.1	5	10	30	1	4	70% gh; 30% 1330_hpr	0	1
128113_1330_hpr	39206	128113	53117.6	210894.1	5	10	30	1	1	70% gh; 30% 1330_hpr	0	1
1281461_1330_hpr	36922	1281461	62813.6	220526.1	5	10	20	1	4	80% gh; 20% 1330_hpr	0	1
1289653_1330_hpr	36949	1289653	62173.6	221646.1	5	10	15	1	4	80% gh; 15% 1330_hpr; 5% 1310_pol	0	1
1291377_1330_hpr	39199	1291377	53821.6	210574.1	5	10	30	1	4	70% gh; 30% 1330_hpr	0	1
1310773_1330_hpr	23	1310773	78461.6	225806.1	5	10	20	0	4	70% gh; 20% 1330_hpr; 10% 1310_pol; 0% gh_ae	0	1
1315509_1330_hpr	36919	1315509	63421.6	220494.1	5	10	20	1	4	60% gh; 20% 1330_hpr; 20% rbbah; 0% rbbmr	0	1
1322865_1330_hpr	27255	1322865	50461.6	209102.1	5	10	20	0	5	80% gh; 20% 1330_hpr	0	1
1335297_1330_hpr	7484	1335297	61469.6	215342.1	5	10	40	0	5	60% gh; 40% 1330_hpr	0	1
1338805_1330_hpr	36921	1338805	61661.6	221902.1	5	10	30	1	4	70% gh; 30% 1330_hpr	0	1
1346997_1330_hpr	36945	1346997	62941.6	219726.1	5	10	30	1	4	70% gh; 30% 1330_hpr	0	1
1348277_1330_hpr	36925	1348277	64029.6	219854.1	5	10	20	1	4	70% gh; 20% 1330_hpr; 10% 1310_pol	0	1
1373297_1330_hpr	39213	1373297	53309.6	210766.1	5	10	30	1	4	70% gh; 30% 1330_hpr	0	1
1401857_1330_hpr	38495	1401857	56669.6	216302.1	5	10	30	1	4	70% gh; 30% 1330_hpr	0	1
1403657_1330_hpr	38658	1403657	104541.6	215534.1	5	10	30	1	4	70% gh; 30% 1330_hpr	0	1
1410493_1330_hpr	6182	1410493	141437.6	222574.1	5	10	30	0	5	70% gh; 30% 1330_hpr	0	1
1412533_1330_hpr	36915	1412533	62333.6	220014.1	5	10	100	1	4	100% 1330_hpr	0	1
1433269_1330_hpr	37506	1433269	69469.6	220494.1	5	10	100	1	4	100% 1330_hpr	0	1
1443841_1330_hpr	523	1443841	62973.6	211598.1	5	10	20	0	5	60% gh; 20% rbbhc; 20% 1330_hpr	0	1
1456905_1330_hpr	38487	1456905	107453.6	216622.1	5	10	30	1	4	60% gh; 30% 1330_hpr; 5% 1310_pol; 5% rbbah	0	1
1457153_1330_hpr	38887	1457153	57405.6	212590.1	5	10	78	1	4	78% 1330_hpr; 2% 1310_pol; 20% rbbmr	0	1
1461001_1330_hpr	575	1461001	106685.6	216334.1	5	10	30	0	5	70% gh; 30% 1330_hpr	0	1
1486261_1330_hpr	36959	1486261	62301.6	220942.1	5	10	30	1	4	70% gh; 30% 1330_hpr	0	1
1498805_1330_hpr	833	1498805	69917.6	219726.1	5	10	20	0	6	75% gh; 20% 1330_hpr; 5% 1310_pol	0	1
1503925_1330_hpr	36962	1503925	63645.6	221102.1	5	10	20	1	4	80% gh; 20% 1330_hpr	0	1
1532081_1330_hpr	45270	1532081	25213.6	196334.1	5	10	30	1	4	70% gh; 30% 1330_hpr	0	1
1547265_1330_hpr	38866	1547265	56573.6	211758.1	5	10	25	1	4	45% rbbkam; 30% rbbzil; 25% 1330_hpr	0	1
1588225_1330_hpr	38871	1588225	57213.6	212622.1	5	10	18	1	4	45% rbbkam; 35% rbbzil; 18% 1330_hpr; 2% rbbah	0	1
1588917_1330_hpr	32925	1588917	69853.6	220718.1	5	10	40	0	6	60% 1310_pol; 40% 1330_hpr	0	1
1594037_1330_hpr	36918	1594037	64317.6	219598.1	5	10	30	1	5	70% gh; 30% 1330_hpr	0	1
1610421_1330_hpr	36918	1610421	64317.6	219630.1	5	10	30	1	5	70% gh; 30% 1330_hpr	0	1
1621505_1330_hpr	523	1621505	63037.6	211630.1	5	10	20	0	6	60% gh; 20% rbbhc; 20% 1330_hpr	0	1
1653761_1330_hpr	4787	1653761	56989.6	213326.1	5	10	20	0	6	80% gh; 20% 1330_hpr	0	1
1666049_1330_hpr	38887	1666049	57117.6	212430.1	5	10	78	1	5	78% 1330_hpr; 2% 1310_pol; 20% rbbmr	0	1
1667357_1330_hpr	37944	1667357	96797.6	219694.1	5	10	25	1	5	70% gh; 25% 1330_hpr; 5% 1310_pol	0	1
1679217_1330_hpr	29	1679217	48925.6	206702.1	5	10	30	0	6	70% gh; 30% 1330_hpr	0	1
168629_1330_hpr	36963	168629	64989.6	220494.1	5	10	30	1	1	70% gh; 30% 1330_hpr	0	1
1700533_1330_hpr	36926	1700533	63133.6	220686.1	5	10	30	1	5	70% gh; 30% 1330_hpr	0	1
1715637_1330_hpr	36947	1715637	62621.6	222542.1	5	10	30	1	5	70% gh; 30% 1330_hpr	0	1
1741493_1330_hpr	36963	1741493	64765.6	220334.1	5	10	30	1	5	70% gh; 30% 1330_hpr	0	1
1750129_1330_hpr	39203	1750129	54333.6	210510.1	5	10	100	1	5	100% 1330_hpr	0	1
1760949_1330_hpr	4798	1760949	69661.6	219758.1	5	10	30	0	7	70% gh; 30% 1310,1330_hpr	0	1
1778609_1330_hpr	6190	1778609	36029.6	199694.1	5	10	30	0	7	70% gh; 30% 1330_hpr	0	1
1781173_1330_hpr	36951	1781173	62301.6	222030.1	5	10	30	1	5	70% gh; 30% 1330_hpr	0	1
1785525_1330_hpr	37363	1785525	69181.6	220878.1	5	10	30	1	5	70% gh; 30% 1330_hpr; 0% gh_ae	0	1
1830325_1330_hpr	33489	1830325	60957.6	221102.1	5	10	30	0	7	70% rbbkam; 30% 1330_hpr	0	1
1830581_1330_hpr	37500	1830581	68829.6	220622.1	5	10	100	1	5	100% 1330_hpr	0	1
1872565_1330_hpr	36925	1872565	64125.6	219982.1	5	10	20	1	5	70% gh; 20% 1330_hpr; 10% 1310_pol	0	1
1879477_1330_hpr	36944	1879477	62749.6	221262.1	5	10	30	1	5	70% gh; 30% 1330_hpr	0	1
1896305_1330_hpr	4741	1896305	50237.6	209838.1	5	10	30	0	7	70% gh; 30% 1330_hpr	0	1
1928193_1330_hpr	38879	1928193	56893.6	212078.1	5	10	40	1	5	45% rbbzil; 40% 1330_hpr; 15% rbbmr	0	1
193205_1330_hpr	36932	193205	63869.6	220974.1	5	10	30	1	1	70% gh; 30% 1330_hpr	0	1
193649_1330_hpr	39202	193649	53757.6	211086.1	5	10	20	1	1	70% gh; 20% 1330_hpr; 10% rbbah	0	1
1936821_1330_hpr	36913	1936821	62397.6	219694.1	5	10	30	1	5	70% gh; 30% 1330_hpr	0	1
1943625_1330_hpr	38351	1943625	102045.6	217454.1	5	10	20	1	5	70% gh; 20% 1330_hpr; 10% rbbmr	0	1
1945013_1330_hpr	36959	1945013	62557.6	220910.1	5	10	30	1	5	70% gh; 30% 1330_hpr	0	1
1946625_1330_hpr	38452	1946625	57117.6	215566.1	5	10	30	1	5	70% gh; 30% 1330_hpr	0	1
1962677_1330_hpr	36923	1962677	63293.6	220686.1	5	10	30	1	5	70% gh; 30% 1330_hpr	0	1
1977781_1330_hpr	36947	1977781	62557.6	222414.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
2018741_1330_hpr	36936	2018741	61565.6	220238.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
2018749_1330_hpr	33543	2018749	139677.6	220078.1	5	10	80	0	7	80% 1330_hpr; 20% rbbzil	0	1
2024561_1330_hpr	39189	2024561	51901.6	210766.1	5	10	20	1	6	80% gh; 20% 1330_hpr	0	1
2028657_1330_hpr	39210	2028657	53373.6	211022.1	5	10	20	1	6	60% gh; 20% rbbmr; 20% 1330_hpr	0	1
2036405_1330_hpr	36957	2036405	63997.6	220526.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
2101941_1330_hpr	36940	2101941	63069.6	220174.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
2109297_1330_hpr	1423	2109297	50493.6	209262.1	5	10	30	0	8	70% gh; 30% 1330_hpr	0	1
2113205_1330_hpr	455	2113205	69821.6	221038.1	5	10	20	0	8	30% 1310_pol; 20% 1330_hpr; 25% rbbah; 25% gh	0	1
212661_1330_hpr	37363	212661	69373.6	220910.1	5	10	30	1	1	70% gh; 30% 1330_hpr; 0% gh_ae	0	1
2133429_1330_hpr	36945	2133429	62941.6	219950.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
2134709_1330_hpr	36918	2134709	64477.6	219886.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
2143233_1330_hpr	38448	2143233	57821.6	215918.1	5	10	20	1	6	80% gh; 20% 1330_hpr	0	1
2143345_1330_hpr	39204	2143345	54589.6	210958.1	5	10	20	1	6	60% gh; 20% rbbmr; 20% 1330_hpr	0	1
2239241_1330_hpr	38658	2239241	104701.6	215438.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
2265781_1330_hpr	36963	2265781	64893.6	220398.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
2272693_1330_hpr	36959	2272693	62237.6	220814.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
2274305_1330_hpr	38495	2274305	56861.6	216430.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
2333697_1330_hpr	38870	2333697	56669.6	211790.1	5	10	20	1	6	80% rbbkam; 20% 1330_hpr	0	1
2338229_1330_hpr	36949	2338229	62173.6	221454.1	5	10	15	1	6	80% gh; 15% 1330_hpr; 5% 1310_pol	0	1
2364085_1330_hpr	36939	2364085	63357.6	220558.1	5	10	30	1	6	65% gh; 30% 1330_hpr; 5% rbbah	0	1
2396853_1330_hpr	36917	2396853	64125.6	219662.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
241077_1330_hpr	4726	241077	61981.6	221518.1	5	10	30	0	1	70% gh; 30% 1330_hpr	0	1
2416309_1330_hpr	4798	2416309	69629.6	219886.1	5	10	30	0	8	70% gh; 30% 1310,1330_hpr	0	1
2421873_1330_hpr	39213	2421873	53341.6	210862.1	5	10	30	1	6	70% gh; 30% 1330_hpr	0	1
242801_1330_hpr	39199	242801	53917.6	210478.1	5	10	30	1	1	70% gh; 30% 1330_hpr	0	1
2459069_1330_hpr	6182	2459069	141469.6	222574.1	5	10	30	0	8	70% gh; 30% 1330_hpr	0	1
2505729_1330_hpr	38887	2505729	57437.6	212526.1	5	10	78	1	6	78% 1330_hpr; 2% 1310_pol; 20% rbbmr	0	1
2514365_1330_hpr	30252	2514365	138141.6	220526.1	5	10	30	0	8	70% gh; 30% 1330_hpr	0	1
2567605_1330_hpr	36953	2567605	62173.6	221678.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
258741_1330_hpr	36958	258741	63389.6	221390.1	5	10	20	1	1	80% gh; 20% 1330_hpr	0	1
2591601_1330_hpr	39194	2591601	54205.6	210222.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
2595841_1330_hpr	38875	2595841	56381.6	211854.1	5	10	20	1	7	80% rbbkam; 20% 1330_hpr	0	1
2618037_1330_hpr	36958	2618037	63229.6	221422.1	5	10	20	1	7	80% gh; 20% 1330_hpr	0	1
2618481_1330_hpr	39208	2618481	53245.6	211214.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
2627657_1330_hpr	38433	2627657	100957.6	216750.1	5	10	20	1	7	60% gh; 20% 1330_hpr; 15% rbbmr; 5% 1310_pol; 0% rbbah	0	1
2658997_1330_hpr	36918	2658997	64349.6	219822.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
2665909_1330_hpr	36946	2665909	62717.6	221166.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
266933_1330_hpr	36939	266933	63293.6	220430.1	5	10	30	1	1	65% gh; 30% 1330_hpr; 5% rbbah	0	1
2690485_1330_hpr	36935	2690485	61757.6	219566.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
2703029_1330_hpr	283	2703029	69373.6	221326.1	5	10	20	0	9	80% gh; 20% 1330_hpr	0	1
2733169_1330_hpr	39202	2733169	53981.6	210990.1	5	10	20	1	7	70% gh; 20% 1330_hpr; 10% rbbah	0	1
2735541_1330_hpr	33489	2735541	60893.6	221006.1	5	10	30	0	9	70% rbbkam; 30% 1330_hpr	0	1
2748273_1330_hpr	18287	2748273	50205.6	209934.1	5	10	70	0	9	70% 1330_hpr; 30% rbbmr	0	1
2764213_1330_hpr	36954	2764213	62557.6	222542.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
2796981_1330_hpr	36959	2796981	62045.6	220686.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
2804489_1330_hpr	38491	2804489	107613.6	216302.1	5	10	50	1	7	50% 1330_hpr; 50% gh	0	1
2805181_1330_hpr	32018	2805181	139645.6	219854.1	5	10	30	0	9	70% gh; 30% 1330_hpr	0	1
2809525_1330_hpr	4798	2809525	69789.6	219822.1	5	10	30	0	9	70% gh; 30% 1310,1330_hpr	0	1
2827185_1330_hpr	6190	2827185	36093.6	199790.1	5	10	30	0	10	70% gh; 30% 1330_hpr	0	1
2829749_1330_hpr	36951	2829749	62397.6	222030.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
2830389_1330_hpr	4766	2830389	78845.6	223470.1	5	10	30	0	10	70% gh; 30% 1330_hpr	0	1
2862517_1330_hpr	36949	2862517	62237.6	221390.1	5	10	15	1	7	80% gh; 15% 1330_hpr; 5% 1310_pol	0	1
2906805_1330_hpr	36871	2906805	66173.6	224398.1	5	10	30	1	7	70% gh; 30% 1330_hpr; 0% gh_ae	0	1
2908853_1330_hpr	36963	2908853	65085.6	220238.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
2921141_1330_hpr	36918	2921141	64221.6	219886.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
2925569_1330_hpr	30195	2925569	56733.6	215374.1	5	10	30	0	10	70% gh; 30% 1330_hpr	0	1
2936245_1330_hpr	36938	2936245	61725.6	219790.1	5	10	30	1	7	70% gh; 30% 1330_hpr	0	1
2936253_1330_hpr	33538	2936253	139549.6	220142.1	5	10	100	0	10	100% 1330_hpr	0	1
2992201_1330_hpr	38351	2992201	101981.6	217390.1	5	10	20	1	7	70% gh; 20% 1330_hpr; 10% rbbmr	0	1
2993589_1330_hpr	36959	2993589	62621.6	221038.1	5	10	30	1	8	70% gh; 30% 1330_hpr	0	1
299701_1330_hpr	36918	299701	64253.6	219726.1	5	10	30	1	1	70% gh; 30% 1330_hpr	0	1
3010229_1330_hpr	37500	3010229	68573.6	220622.1	5	10	100	1	8	100% 1330_hpr	0	1
3026357_1330_hpr	36947	3026357	62717.6	222254.1	5	10	30	1	8	70% gh; 30% 1330_hpr	0	1
3038653_1330_hpr	30271	3038653	137853.6	220462.1	5	10	20	0	10	80% gh; 20% 1330_hpr	0	1
304129_1330_hpr	30195	304129	56829.6	215214.1	5	10	30	0	1	70% gh; 30% 1330_hpr	0	1
3046837_1330_hpr	36927	3046837	60829.6	222094.1	5	10	30	1	8	70% gh; 30% 1330_hpr	0	1
3052213_1330_hpr	36963	3052213	64829.6	220302.1	5	10	30	1	8	70% gh; 30% 1330_hpr	0	1
3054593_1330_hpr	38862	3054593	56541.6	212366.1	5	10	50	1	8	50% 1330_hpr; 20% 1310_pol; 30% rbbah	0	1
3062785_1330_hpr	4786	3062785	57437.6	213742.1	5	10	30	0	11	70% gh; 30% 1330_hpr	0	1
3067317_1330_hpr	36936	3067317	61469.6	220302.1	5	10	30	1	8	70% gh; 30% 1330_hpr	0	1
3067325_1330_hpr	33543	3067325	139613.6	219950.1	5	10	80	0	11	80% 1330_hpr; 20% rbbzil	0	1
3073137_1330_hpr	39189	3073137	51805.6	210798.1	5	10	20	1	8	80% gh; 20% 1330_hpr	0	1
3084981_1330_hpr	36914	3084981	63997.6	220398.1	5	10	15	1	8	80% gh; 15% 1330_hpr; 5% 1310_pol	0	1
3093505_1330_hpr	38454	3093505	58269.6	216302.1	5	10	20	1	8	60% gh; 20% 1330_hpr; 20% rbbzil	0	1
3109889_1330_hpr	38452	3109889	57181.6	215438.1	5	10	30	1	8	70% gh; 30% 1330_hpr	0	1
311349_1330_hpr	35503	311349	78333.6	225742.1	5	10	20	1	1	70% gh; 20% 1330_hpr; 10% 1310_pol; 0% gh_ae	0	1
3124661_1330_hpr	36949	3124661	62301.6	221550.1	5	10	15	1	8	80% gh; 15% 1330_hpr; 5% 1310_pol	0	1
3142325_1330_hpr	36958	3142325	63389.6	221422.1	5	10	20	1	8	80% gh; 20% 1330_hpr	0	1
3149493_1330_hpr	36981	3149493	68605.6	221390.1	5	10	30	1	8	70% gh; 30% 1330_hpr	0	1
3150517_1330_hpr	36939	3150517	63229.6	220334.1	5	10	30	1	8	65% gh; 30% 1330_hpr; 5% rbbah	0	1
3157873_1330_hpr	1423	3157873	50589.6	209326.1	5	10	30	0	11	70% gh; 30% 1330_hpr	0	1
3161089_1330_hpr	38871	3161089	57245.6	212814.1	5	10	18	1	8	45% rbbkam; 35% rbbzil; 18% 1330_hpr; 2% rbbah	0	1
3198389_1330_hpr	36938	3198389	61693.6	219758.1	5	10	30	1	8	70% gh; 30% 1330_hpr	0	1
3214773_1330_hpr	36935	3214773	61597.6	219598.1	5	10	30	1	8	70% gh; 30% 1330_hpr	0	1
3215029_1330_hpr	37500	3215029	68765.6	220750.1	5	10	100	1	8	100% 1330_hpr	0	1
324721_1330_hpr	39209	324721	53501.6	210894.1	5	10	30	1	1	70% gh; 30% 1330_hpr	0	1
3252081_1330_hpr	29	3252081	48893.6	206702.1	5	10	30	0	11	70% gh; 30% 1330_hpr	0	1
3263241_1330_hpr	575	3263241	107325.6	216302.1	5	10	30	0	11	70% gh; 30% 1330_hpr	0	1
3298997_1330_hpr	36697	3298997	70397.6	224910.1	5	10	60	1	8	60% 1310,1330_hpr; 30% gh; 10% rbbmr	0	1
3309237_1330_hpr	4	3309237	71037.6	221166.1	5	10	20	0	12	70% gh; 20% 1330_hpr; 10% 1310_pol	0	1
331445_1330_hpr	280	331445	69117.6	221134.1	5	10	30	0	2	70% gh; 30% 1330_hpr	0	1
3316737_1330_hpr	38885	3316737	56477.6	212142.1	5	10	20	1	9	80% rbbkam; 20% 1330_hpr	0	1
3322993_1330_hpr	39201	3322993	54301.6	210670.1	5	10	20	1	9	50% rbbah; 30% rbbmr; 20% 1330_hpr	0	1
3347125_1330_hpr	36957	3347125	63997.6	220334.1	5	10	30	1	9	70% gh; 30% 1330_hpr	0	1
3358389_1330_hpr	37363	3358389	69213.6	221006.1	5	10	30	1	9	70% gh; 30% 1330_hpr; 0% gh_ae	0	1
3359797_1330_hpr	6090	3359797	72221.6	220814.1	5	10	20	0	12	70% gh; 20% 1330_hpr; 10% 1310_pol	0	1
3363893_1330_hpr	4789	3363893	72093.6	220558.1	5	10	30	0	12	70% gh; 30% 1330_hpr; 0% gh_ae	0	1
3378613_1330_hpr	36922	3378613	62909.6	220398.1	5	10	20	1	9	80% gh; 20% 1330_hpr	0	1
3382273_1330_hpr	38868	3382273	56829.6	211822.1	5	10	100	1	9	100% 1330_hpr	0	1
3383153_1330_hpr	29	3383153	48925.6	206894.1	5	10	30	0	12	70% gh; 30% 1330_hpr	0	1
3388529_1330_hpr	39196	3388529	54013.6	210542.1	5	10	30	1	9	70% gh; 30% 1330_hpr	0	1
3427893_1330_hpr	36328	3427893	80637.6	227278.1	5	10	30	1	9	70% gh; 30% 1330_hpr	0	1
